OppRk,Opponent,Result,Effect,Status,PctOfRanking,Date,Event,Win,Pts,OppPts,GameScore,PtDiff,OpponentRating,TeamRatingPostgame,GameValue,TeamRatingPregame,GameValueUsed,RatingsImpact,Team,TeamPOPS,OppPOPS
35,Virginia,Win 13-2,0.61,Counts,0.043,2022-05-07,Atlantic Coast D I College Mens Regionals 2022,1,13,2,600,11,1561.41,2147.19,2161.41,2146.58,2161.41,92.94062999999998,North Carolina,0.8666666666666667,0.13333333333333333
23,William & Mary,Win 15-2,6.87,Counts,0.043,2022-05-08,Atlantic Coast D I College Mens Regionals 2022,1,15,2,600,13,1700.57,2140.93,2300.5699999999997,2134.06,2300.5699999999997,98.92450999999998,North Carolina,0.8823529411764706,0.11764705882352941
11,North Carolina State,Win 15-12,2.26,Counts,0.043,2022-05-08,Atlantic Coast D I College Mens Regionals 2022,1,15,12,300.49,3,1897.64,2145.54,2198.13,2143.2799999999997,2198.13,94.51959,North Carolina,0.5555555555555556,0.4444444444444444
61,Stanford,Win 15-5,0,Ignored,0,2022-02-19,Presidents Day Invite 2022,1,15,5,600,10,1425.12,2112.25,2025.12,2112.25,0,0,University of Colorado - Boulder,0.75,0.25
40,California-Santa Cruz,Win 15-5,1.14,Counts,0.044500000000000005,2022-02-19,Presidents Day Invite 2022,1,15,5,600,10,1536.78,2111.11,2136.7799999999997,2109.9700000000003,2136.7799999999997,95.08671,University of Colorado - Boulder,0.75,0.25
31,UCLA,Win 10-6,-0.38,Counts,0.0409,2022-02-19,Presidents Day Invite 2022,1,10,6,496.16,4,1607.12,2112.63,2103.2799999999997,2113.01,2103.2799999999997,86.02415199999999,University of Colorado - Boulder,0.625,0.375
65,California-Santa Barbara,Win 15-3,0,Ignored,0,2022-02-20,Presidents Day Invite 2022,1,15,3,600,12,1387.07,2112.25,1987.07,2112.25,0,0,University of Colorado - Boulder,0.8333333333333334,0.16666666666666666
14,California,Win 12-11,-7.32,Counts,0.044500000000000005,2022-02-20,Presidents Day Invite 2022,1,12,11,125,1,1830.1,2119.57,1955.1,2126.8900000000003,1955.1,87.00195000000001,University of Colorado - Boulder,0.5217391304347826,0.4782608695652174
40,California-Santa Cruz,Win 11-7,-4.92,Counts,0.0433,2022-02-21,Presidents Day Invite 2022,1,11,7,466.89,4,1536.78,2117.17,2003.67,2122.09,2003.67,86.758911,University of Colorado - Boulder,0.6111111111111112,0.3888888888888889
20,Oregon,Win 15-9,6.33,Counts,0.044500000000000005,2022-02-21,Presidents Day Invite 2022,1,15,9,515.48,6,1732.6,2105.92,2248.08,2099.59,2248.08,100.03956000000001,University of Colorado - Boulder,0.625,0.375
7,Cal Poly-SLO,Win 11-10,-0.5,Counts,0.044500000000000005,2022-02-21,Presidents Day Invite 2022,1,11,10,125,1,1976.49,2112.75,2101.49,2113.25,2101.49,93.516305,University of Colorado - Boulder,0.5238095238095238,0.47619047619047616
15,Minnesota,Win 12-11,-9.17,Counts,0.05,2022-03-05,Smoky Mountain Invite 2022,1,12,11,125,1,1812.87,2121.42,1937.87,2130.59,1937.87,96.8935,University of Colorado - Boulder,0.5217391304347826,0.4782608695652174
11,North Carolina State,Win 13-8,14.81,Counts,0.05,2022-03-05,Smoky Mountain Invite 2022,1,13,8,496.16,5,1897.64,2097.44,2393.8,2082.63,2393.8,119.69000000000001,University of Colorado - Boulder,0.6190476190476191,0.38095238095238093
